model,run,image_id,category,n_points,CC,SIM,KL
gpt-5.4-mini,1,09094b,poster,41,0.17948817303438047,0.3003414864237638,2.1666852318186476
gpt-5.4-mini,2,09094b,poster,40,0.1873800521403734,0.3021338461713261,1.9805602923927659
gpt-5.4-mini,3,09094b,poster,43,0.34668334773181664,0.32221574399988406,1.713815669029196
gpt-5.4-mini,1,091b5e,web,40,0.24034789385910849,0.33652722248785777,1.4692854905215813
gpt-5.4-mini,2,091b5e,web,44,0.27687766514049206,0.3569771238113497,1.3523103205070166
gpt-5.4-mini,3,091b5e,web,45,0.2902174581772155,0.3343493041714068,1.5349732155765448
gpt-5.4-mini,1,092bd5,poster,40,-0.1896015280940191,0.25727860414125875,2.1301465065130483
gpt-5.4-mini,2,092bd5,poster,40,0.036523815575911465,0.28332743662544235,1.8872933119667543
gpt-5.4-mini,3,092bd5,poster,39,-0.09580278959461602,0.23781126340218553,2.5555895997915044
gpt-5.4-mini,1,091ab0,mobile,39,0.4025220547123688,0.398909514481743,1.8486624949984243
gpt-5.4-mini,2,091ab0,mobile,38,0.3532705211129604,0.3710725769073132,2.6370391034148692
gpt-5.4-mini,3,091ab0,mobile,38,0.43221856749732485,0.43320496156985056,1.6237572109275789
gpt-5.4-mini,1,0939f7,poster,42,0.0521726010860135,0.2113512319953446,3.760984953193489
gpt-5.4-mini,3,0939f7,poster,44,0.10044311185989757,0.22809772122204547,3.412866790560566
gpt-5.4-mini,1,093c65,poster,39,0.2730890927137407,0.42872160782130886,2.0716752728833443
gpt-5.4-mini,2,0939f7,poster,40,0.10236660706490347,0.2242992387258149,3.3744963905547416
gpt-5.4-mini,3,093c65,poster,40,0.368377108843321,0.46926943754227757,1.6136420723472156
gpt-5.4-mini,2,093c65,poster,37,0.12988049966022372,0.35207493570166903,2.2515036004618927
gpt-5.4-mini,1,0950e7,web,41,0.35795627323189616,0.44561379621396396,1.0442636215815677
gpt-5.4-mini,2,0950e7,web,44,0.345569803035666,0.4470536594836347,1.1383621295622006
gpt-5.4-mini,3,0950e7,web,46,0.3431378927747284,0.4437985669605921,1.0484341413398994
gpt-5.4-mini,1,09bb5b,desktop,44,-0.012250782245183826,0.3499174365336748,1.4450684352437972
gpt-5.4-mini,2,09bb5b,desktop,40,0.2956759876557402,0.4391911245332272,1.049362733608323
gpt-5.4-mini,3,09bb5b,desktop,40,0.16021402578010502,0.3982502102123644,1.142044050040402
gpt-5.4-mini,2,09942c,mobile,40,0.18727760633327362,0.3016251849457304,2.859601806004416
gpt-5.4-mini,3,09942c,mobile,38,0.18444044872598983,0.3335349001696886,2.2917439831786446
gpt-5.4-mini,1,09942c,mobile,41,0.14603938838798694,0.2985705497015823,2.516243799837524
gpt-5.4-mini,1,09d1d9,poster,40,0.462948647877712,0.4959880935455664,1.5792396820252574
gpt-5.4-mini,3,09d1d9,poster,42,0.5246030999345764,0.49248387452476416,1.8264125923048742
gpt-5.4-mini,2,09d1d9,poster,41,0.41184618691150754,0.4539594549494888,1.978506561096835
gpt-5.4-mini,3,00ee0c,poster,43,0.042241350249097136,0.07195436051231437,6.110967881240898
gpt-5.4-mini,1,0a22ef,web,40,0.2584444466724658,0.3335059544172113,1.498904373527799
gpt-5.4-mini,3,0a0c95,mobile,38,0.15164942803795883,0.3230013816576929,2.781020427848724
gpt-5.4-mini,2,0a0c95,mobile,40,0.09026215650144653,0.30192936883627286,3.3273804169867764
gpt-5.4-mini,2,0a22ef,web,45,0.22635952769238357,0.3200788883027481,1.694213797848193
gpt-5.4-mini,1,0a0c95,mobile,37,0.053265504676166725,0.24605232879434713,3.2174938973499967
gpt-5.4-mini,3,0a22ef,web,40,0.40678827847529214,0.38892531094983845,1.295835006392437
gpt-5.4-mini,2,0a588b,mobile,40,-0.07308423467720199,0.2771881531672652,3.1659051616869105
gpt-5.4-mini,1,0a87be,web,44,-0.009090809416268797,0.2014781206912282,4.193344566217263
gpt-5.4-mini,3,0a588b,mobile,40,-0.01738524439144292,0.303273422272565,3.2441566393320196
gpt-5.4-mini,1,0a588b,mobile,38,0.06527359679748272,0.3366132815769971,2.624249318848542
gpt-5.4-mini,3,0a87be,web,40,0.17327035736596688,0.270031778824022,3.0166995166146657
gpt-5.4-mini,2,0a87be,web,39,0.09208380799040267,0.25734283246525713,2.5990701672007868
gpt-5.4-mini,1,09d330,poster,44,0.1529298326255403,0.16491226127500017,5.262783849582739
gpt-5.4-mini,1,0af35a,web,43,0.1930959683625243,0.285806080555911,1.9651528370202163
gpt-5.4-mini,2,09d330,poster,45,0.14544704107960033,0.20695533133472485,4.461770114851016
gpt-5.4-mini,2,0af35a,web,42,0.21972867871847057,0.296579708298281,1.7893644017813006
gpt-5.4-mini,1,0b2a15,web,42,0.24417691419888415,0.4616085957153365,1.2008301843803832
gpt-5.4-mini,1,0b777c,desktop,44,0.24595423982982695,0.4404430289208431,0.9961869324966097
gpt-5.4-mini,2,0b777c,desktop,47,0.21025227781104627,0.4046392480008231,1.098519277685491
gpt-5.4-mini,3,0af35a,web,40,0.32007099009937423,0.31180061561517486,1.5180874377114955
gpt-5.4-mini,2,0b2a15,web,39,0.013900957087845334,0.39174450196349386,1.8568782900544818
gpt-5.4-mini,3,09d330,poster,45,0.1448596419938942,0.2030104665545918,4.248730468315729
gpt-5.4-mini,3,0b777c,desktop,48,0.2505227045720184,0.43543034366162303,0.9936145430508891
gpt-5.4-mini,3,0b2a15,web,39,0.1121819241068424,0.4278026202317827,1.4646453532248291
gpt-5.4-mini,1,0ba80a,poster,41,0.41543308358914277,0.41589969566022944,1.0914890580294676
gpt-5.4-mini,2,0ba80a,poster,40,0.15662113813711015,0.4038931979841679,1.2926687411732032
