model,run,image_id,category,n_points,CC,SIM,KL,NSS,AUC,CC_partial
gpt-5.4,3,1fdbf2,desktop,40,0.6521063449368343,0.6432950368232169,0.4729793038222694,0.9591531940429306,0.7676664870543205,0.641169142940402
gpt-5.4,7,1dd09f,mobile,40,0.20950160624528147,0.34955035740429674,3.0774409649615717,0.25962450242092655,0.6035343889363632,0.12238302200136172
gpt-5.4,5,1fdbf2,desktop,44,0.6746050775171593,0.6360886113304898,0.5025292386227141,0.984071668102579,0.7555602987615381,0.644017845640067
gpt-5.4,4,1fdbf2,desktop,40,0.7760670449682618,0.6894930426190852,0.3511943140601027,1.136986285624485,0.7888007596321908,0.7594858823880236
gpt-5.4,6,1fdbf2,desktop,40,0.6821390714713016,0.6448243380983185,0.4630313564617503,0.9789660837483747,0.7609729246316709,0.6670141612404846
gpt-5.4,7,1fdbf2,desktop,40,0.7083502688799886,0.6567803235315114,0.4167268777672137,1.0630155690646557,0.7779280107928016,0.7020122360020752
gpt-5.4,8,1fdbf2,desktop,40,0.7051486978186757,0.6632293147578191,0.4295663318127301,1.0504726928659902,0.7755687273893684,0.6885382013324414
gpt-5.4,8,1dd09f,mobile,40,0.29873658159484495,0.4067781231699883,1.5823266051346283,0.6270844504580891,0.7188154160884037,0.1866541746177345
gpt-5.4,9,1fdbf2,desktop,40,0.6884486357812012,0.6440145001445525,0.5128569155983757,1.0214837764057667,0.77138207482836,0.6648742347923515
gpt-5.4,10,1fdbf2,desktop,36,0.5456973641806417,0.5803527188253012,0.7228588597713245,0.81196953171264,0.7199923357493716,0.5427889451339171
gpt-5.4,9,1dd09f,mobile,40,0.346392216300651,0.44031519804162345,1.729281670214882,0.8483290531338102,0.7483454058644479,0.2611629316010799
gpt-5.4,1,2bb7d4,desktop,39,0.4325467734448548,0.5536201773954483,0.6977551111885304,0.7317201169342068,0.7053434172946389,0.32468230181080177
gpt-5.4,10,1dd09f,mobile,40,0.23648636044216517,0.37285712572539187,3.3078588926449317,0.46724043203976223,0.5886052403751315,0.16649581850241674
gpt-5.4,4,2bb7d4,desktop,49,0.5337328238193877,0.5887814500835827,0.6502506737002116,0.8963448951724906,0.7437381286059543,0.457052395092115
gpt-5.4,3,2bb7d4,desktop,47,0.38146634336403185,0.5524558448623034,0.7484509175389176,0.6412265759513613,0.691679101993738,0.33589359833323185
gpt-5.4,2,2bb7d4,desktop,56,0.42109892894189,0.5512682737197973,0.7301498473495536,0.7145477346120477,0.7033892220500593,0.3596784799168297
