model,image_id,category,sigma,CC,SIM,KL
claude-opus-4.6,a4d2a8,mobile,40.0,0.8707411315640945,0.8069808250838311,0.1680730199321509
claude-opus-4.6,a4d2a8,mobile,60.0,0.8862819675337081,0.821140638395989,0.12267621772166729
claude-opus-4.6,de271c,mobile,20.0,0.05853448750659248,0.17253066742748385,6.373289358275086
claude-opus-4.6,de271c,mobile,40.0,0.0957896858976207,0.2987565734921957,3.845520119326279
claude-opus-4.6,de271c,mobile,60.0,0.11178726398200318,0.34454540567683667,2.564367958012174
claude-opus-4.6,2b0b4e,mobile,20.0,0.21436467888184363,0.2683450508711466,4.806261417081608
claude-opus-4.6,2b0b4e,mobile,40.0,0.33574040378581377,0.4473121050999389,2.3500548356824207
claude-opus-4.6,2b0b4e,mobile,60.0,0.378758305158297,0.5029811260363442,1.3750920937042517
claude-opus-4.6,55ce87,mobile,20.0,0.16918365597693386,0.2259470431235256,5.169885184126769
claude-opus-4.6,55ce87,mobile,40.0,0.258468494870127,0.34095098813137265,2.954977661156942
